player_id,player_name,position,n_seasons,toi_total,team_recent,raw_mean,ZA_mean,IOC_mean,IOL_mean,FA_mean
8479542,Brandon Hagel,F,4,5576.55,TBL,0.5827049390427107,0.5801467104488127,0.5018733635763949,0.501849263798658,0.5743897363044417
8476873,Mark Jankowski,F,4,2216.45,CAR,0.576139300983101,0.576594961521025,0.4965637601750417,0.5077955299090211,0.568757784299916
8480027,Jason Robertson,F,4,5459.383333333333,DAL,0.5719555575834248,0.5721737695620843,0.5000962155277522,0.5009750139853832,0.5686998212859828
8480801,Brady Tkachuk,F,4,5159.633333333333,OTT,0.5751059779117259,0.5663950445001237,0.5020848314107895,0.49461269600367397,0.5681990138634055
8475855,Jesper Fast,F,2,2100.2833333333333,CAR,0.6106184903193461,0.6084704681445061,0.5019623360053389,0.5468425000140342,0.5677989817121976
8477903,Garnet Hathaway,F,4,3185.9166666666665,PHI,0.5551422172831676,0.5736015582427357,0.5037965777621474,0.506182391075669,0.5677788468294287
8478402,Connor McDavid,F,4,6023.6,EDM,0.5992428505525812,0.5864069460828895,0.5009232623247084,0.5238335314438282,0.5650733608591342
8475848,Brendan Gallagher,F,4,3247.6833333333334,MTL,0.5213911038481595,0.5255179081416221,0.5009193361897748,0.44964200891146977,0.5618659200545036
8473533,Jordan Staal,F,4,4424.316666666667,CAR,0.5851365955034931,0.5879974537222542,0.5038638138600116,0.5342096179293602,0.5596335140702291
8479323,Adam Fox,D,4,6109.183333333333,NYR,0.5475278795463382,0.5387135476286838,0.5009448546391768,0.4686374414614621,0.5576404753685615
8482730,Brandt Clarke,D,3,2443.4,LAK,0.5725875731982594,0.5622134485308581,0.4953112787989016,0.5047773494367446,0.5570930511793436
8476399,Blake Coleman,F,4,4780.466666666666,CGY,0.5363200143722002,0.5435634350470151,0.50378863216092,0.47732674982144013,0.5569737421747126
8479318,Auston Matthews,F,4,5172.15,TOR,0.5626356695477568,0.5532203102748705,0.502941415208073,0.49114636686717983,0.5551431468254223
8480849,Barrett Hayton,F,4,3772.15,UTA,0.5418317839567292,0.5431721727284258,0.49741995797433514,0.4810711623579821,0.5550163467224716
8476918,Jimmy Vesey,F,3,2510.516666666667,NYR,0.5063256833121901,0.5202589766366729,0.4992028056686812,0.45508401303119156,0.5541332332555952
8483457,Lane Hutson,D,2,3035.85,MTL,0.5421914265355732,0.527438002131258,0.5042492493643806,0.4597742586564585,0.5529362495044552
8475786,Zach Hyman,F,4,5252.3,EDM,0.5914542512018113,0.5810074320760283,0.49941585973364944,0.5353228632836207,0.5519655789419948
8475690,Chris Tanev,D,3,4194.033333333334,TOR,0.5612789719666541,0.5687688722840306,0.5032196669782271,0.5168211674360906,0.5515437230614421
8477478,William Carrier,F,4,2112.0,CAR,0.5713158804752585,0.5753096449205929,0.4979570336388187,0.5297857532900687,0.5507413134251368
8475177,Calvin de Haan,D,3,2403.233333333333,COL,0.5684164762960208,0.5755704967091797,0.497524141597163,0.5297270700423186,0.5505320968704024
8476392,Adam Lowry,F,4,4366.633333333333,WPG,0.5324295812230757,0.5481332858045783,0.5028138400312178,0.49540788446145,0.5498132071772865
8475314,Anders Lee,F,4,4824.966666666666,NYI,0.5385387236341587,0.5330942775343142,0.5024038126846144,0.4735433000421707,0.5494825750578967
8478460,Zach Werenski,D,4,5306.866666666667,CBJ,0.5319115884542702,0.5250912698475303,0.5028617327442769,0.4640940606368149,0.5489849753176208
8482702,Logan Stankoven,F,3,2259.9666666666667,CAR,0.5811379137937104,0.5765189520313335,0.4967986886025244,0.5370486367585741,0.5484190288371286
8476921,Jordan Martinook,F,4,4322.816666666667,CAR,0.5783362504922324,0.5795284824769009,0.5031229608408011,0.5408624227938542,0.5464242210578281
8476448,William Karlsson,F,3,3514.4666666666667,VGK,0.5707434447558116,0.5669056096700865,0.49992702612317186,0.5251066585662145,0.5460410309868334
8479314,Matthew Tkachuk,F,4,4482.283333333334,FLA,0.5646219146087879,0.5566597964866189,0.4988298478848848,0.5072410187713938,0.5453979984862316
8475799,Nino Niederreiter,F,4,4021.7166666666667,WPG,0.5382067693520209,0.5433917294760326,0.5014426925448632,0.49479061381552575,0.5448942674539529
8482762,Simon Edvinsson,D,3,2941.5333333333333,DET,0.5073152716905921,0.5118934160266048,0.5041991973253892,0.45040065036307947,0.5443256356958295
8476881,Tomas Hertl,F,4,4719.25,VGK,0.5480180656734548,0.5426175051502294,0.49916457417170323,0.49520585204391104,0.5442204364614786
